image_id,description
tweetImg519.jpg,An image of egg foo young on a plate with green onions and sauce
tweetImg205.jpg,An image of Lindsey Graham at a podium with the text: Georgia Panel recommended charging Lindsey Graham in Trump case last year
tweetImg1675.jpg,An image of a woman standing on a beach with the sea in the background.
tweetImg272.jpg,"An image of a quote from a song by Eli Young Band, reading, ""His ballads were hauntingly beautiful. He may not have had many Top 10 hits but 'Margaritaville' is a timeless classic that gets nearly everyone up on their feet, singing along, having a good time."""
tweetImg103.jpg,"An image of a chart showing the Consumer Price Index, with the headline reading, “Price pressures remain stubborn as gas pushes up U.S. inflation.”"
tweetImg1586.jpg,An image of a statistic that reads 42%
tweetImg1103.jpg,"An image of Andrew Puzder speaking at the RNC, with a blue overlay and the Politico logo"
tweetImg652.jpg,An image of a chocolate cake with a slice cut out of it
tweetImg896.jpg,An image of the front page of the New York Times on the day of the verdict
tweetImg1971.jpg,"An image of a woman wearing a mask and glasses, holding a pill bottle and looking at it."
tweetImg761.jpg,An image of a variety of fountain pens
tweetImg361.jpg,"An image of a quote from Juan Tamayo, a resident of Morit, that reads:"
tweetImg3299.jpg,An image of the dome and the ceiling of the church with the icons
tweetImg507.jpg,An image of a map shows the location of the near miss at New Orleans Airport
tweetImg332.jpg,"An image of Alexandria Ocasio-Cortez with the words ""Alexandria Ocasio-Cortez is not ready to call herself an insider"""
tweetImg17.jpg,"An image of the Singapore skyline and Gardens by the Bay, with the Marina Bay Sands hotel and casino in the foreground and the iconic Marina Bay Tower in the background."
tweetImg312.jpg,"An image of a news article with the headline: Proud Boys Lieutenant Sentenced to 17 Years in Jan. 6 Sedition Case. The headline reads: The penalty for Joseph Biggs is the second longest so far in more than 1,100 criminal cases storming from the Capitol attack."
tweetImg2673.jpg,An image of a question asking if you can solve drought by piping water over the Rockies
tweetImg3357.jpg,"An image of a Russian tank with a caption reading ""This is the robot - A - in an angled down-down triangle"""
tweetImg2799.jpg,"An image of President Biden standing at a podium with his hand on his face, with Vice President Harris standing behind him and a woman standing to his right."
tweetImg119.jpg,"An image of the city of Derna, Libya, before and after the war. The image shows the city before the war and after it was liberated."
tweetImg1006.jpg,An image of a woman standing in front of street signs
tweetImg108.jpg,An image of a Pennsylvania State Trooper speaking at a press conference with other troopers standing behind him.
tweetImg1589.jpg,An image of the Taliban and journalists at the press conference
tweetImg380.jpg,An image of bees on a honeycomb
tweetImg2306.jpg,"An image of a young man with glasses, with the text: For some adolescents, it's too much."
tweetImg3167.jpg,"An image of Pope Benedict XVI wearing a white robe and a gold cross, sitting in a chair, with his hand raised in blessing."
tweetImg3590.jpg,"An image of President Biden with a quote that reads, ""Most jobs lost in the downturn are expected to come back fairly quickly as reopenings under way. It doesn't make sense to send stimulus checks to Biden for the purpose of boosting the economy, because it is largely a result of economic recovery."""
tweetImg2234.jpg,An image of a syringe and a vial with a rainbow-coloured light effect
tweetImg785.jpg,An image of the aftermath of the bombing
tweetImg294.jpg,An image of a hand holding a slice of cake topped with yellow frosting and chopped pistachios.
tweetImg1552.jpg,"An image of a deed with a hand pointing to it, and the text: The language remains in countless property records and homeowners may not even know that their deed includes a covenant."
tweetImg1637.jpg,An image of a man on a military vehicle with the text: Kabul's sudden fall to Taliban ends US era in Afghanistan
tweetImg2204.jpg,An image of a woman and the word 'woke'
tweetImg2398.jpg,An image of Johnny Depp eating a cigar while giving a speech
tweetImg995.jpg,"An image of Mike Pompeo from the waist up, wearing a suit and tie, and looking to his right."
tweetImg257.jpg,"An image of a man wearing a hat and sunglasses, standing in a room with a wooden wall and a large drum. He is holding a drumstick in his hands and appears to be playing it."
tweetImg2416.jpg,An image of Julian Assange standing in a doorway with the word 'published' above him
tweetImg2500.jpg,An image of the entrance to a Barnes & Noble store
tweetImg976.jpg,An image of a man riding a bicycle on a city street.
tweetImg229.jpg,An image of a tennis ball and a device that measures the ball's velocity and angle
tweetImg1931.jpg,"An image of Adele from the back, looking over her shoulder and wearing a black top."
tweetImg930.jpg,An image of a woman with glasses speaking at a podium
tweetImg934.jpg,"An image of Jose Mourinho, with the text 'Tottenham Hotspur fires' and the Tottenham Hotspur logo in the bottom right corner"
tweetImg928.jpg,An image of a dictionary definition of the word: languishing
tweetImg2347.jpg,An image of a child lying in a hospital bed with a mask on
tweetImg2293.jpg,An image of the French president and first lady walking with schoolchildren in front of Eiffel Tower.
tweetImg1331.jpg,An image of a huge sinkhole and a flooded village
tweetImg869.jpg,"An image of a statistic that says 1 in 2,000"
tweetImg2167.jpg,An image of a young woman speaking at a podium with other young people standing behind her.
tweetImg3664.jpg,An image of the G7 leaders standing together
tweetImg1023.jpg,An image of Pakistani soldiers on patrol
tweetImg744.jpg,An image of a bowl of green pasta with red pepper flakes
tweetImg550.jpg,An image of huevos rotos (broken eggs) in a skillet
tweetImg953.jpg,"An image of Russian opposition leader Alexei Navalny is held by a man during a rally in support of jailed opposition leader Alexey Navalny in Moscow, Russia, on Saturday, Aug. 22, 2020."
tweetImg1110.jpg,"An image of a man standing in front of the sky, with the caption: It's meaningful on a lot of different levels."
tweetImg3151.jpg,"An image of snowboarders performing a trick at the Winter X Games in Aspen, Colorado, in 2006."
tweetImg983.jpg,"An image of President Joe Biden walking through a cemetery with a shovel, accompanied by other men."
tweetImg2313.jpg,An image of Judy Garland in the blue and white striped dress and the dress on display in the museum
tweetImg860.jpg,An image of a truck carrying logs
tweetImg376.jpg,An image of a quote from the press release
tweetImg1861.jpg,An image of the text over 100
tweetImg1062.jpg,"An image of President Joe Biden walking through a cemetery, with a grave marker in the foreground and a tree in the background."
tweetImg329.jpg,"An image of a quote from Alexandria Ocasio-Cortez that reads, ""I had to prove to this world of Washington that I was serious and skilled, and that I wasn't just here to make a headline, but that Iwas here to engage in this process in a skilled and sophisticated way."""
tweetImg282.jpg,An image of a quote from Bill McCarthy about the importance of the character of Jimmy Buffett in the movie Margaritaville.
tweetImg559.jpg,An image of a person standing in front of the Washington Monument and a light sculpture
tweetImg2343.jpg,An image of a Ukrainian soldier resting on a mattress in a trench.
tweetImg3533.jpg,"An image of a man vacuuming a coffee table with the quote,"
tweetImg1543.jpg,"An image of a Planned Parenthood clinic is displayed on a building in St. Louis on May 31, 2019."
tweetImg3098.jpg,"An image of a Black woman and a house, with a flying woman and a house in the background."
tweetImg549.jpg,An image of a star field with a question mark in the middle and the title What Is That Question Mark in Space?
tweetImg0.jpg,An image of a burned Banyan tree with the text: Historic burned Banyon tree shows signs of recovery
tweetImg991.jpg,"An image of a man in a military hat, a crowd of people, and a quote from the Oath Keepers: ""We will cooperate with the federal government to protect the Constitution and the Republic."""
tweetImg1084.jpg,An image of Emmett Till with a hat on and a cigarette in his mouth
tweetImg481.jpg,An image of a woman sitting in a chair wearing a white linen suit and white boots
tweetImg3668.jpg,"An image of Letitia James, a Black woman, wearing a red dress and a black blazer, standing behind a microphone and speaking into a podium."
tweetImg2345.jpg,An image of a chart showing the price of GameStop stock
tweetImg2325.jpg,An image of a tattoo artist and a man getting a tatoo
tweetImg2478.jpg,"An image of the Pope is seen on a giant screen as he arrives in his Popemobile to celebrate a mass in St. Peter's Square at the Vatican May 1, 2019. (Photo: Reuters)"
tweetImg634.jpg,An image of a woman with glasses and a black blazer
tweetImg253.jpg,"An image of coach Jorge Vilda holding a gold medal with the text: Jorge Vild, coach of Spain's women's soccer team, is fired"
tweetImg297.jpg,An image of a bar graph showing the monthly change in jobs in the U.S.
tweetImg1973.jpg,An image of a record player and headphones
tweetImg188.jpg,An image of Patrick Mahomes looking off into the distance.
tweetImg81.jpg,"An image of spaghetti with tomatoes, spinach and parmesan"
tweetImg337.jpg,An image of a woman in a dress standing behind a fence.
tweetImg87.jpg,An image of a man and two women posing together at a fashion show
tweetImg2894.jpg,"An image of a burning train is seen through a car window as a man drives down a road in the town of Shchastya, Ukraine, Feb. 22, 2020."
tweetImg1429.jpg,An image of a warning about worming
tweetImg2307.jpg,An image of a brain with arrows pointing to the hippocampus and amygdala
tweetImg2312.jpg,An image of two kayakers on a lake
tweetImg366.jpg,"An image of Steve Carell looking up and smiling, wearing a suit and a tie."
tweetImg2485.jpg,An image of a woman crying next to the bodies of her relatives
tweetImg2222.jpg,"An image of Guanajuato, Mexico, with the title overlaid"
tweetImg458.jpg,An image of a skillet with fried rice and basil leaves
tweetImg490.jpg,An image of a helicopter dropping supplies to people in a valley.
tweetImg3214.jpg,"An image of a quote from Sue Gray in her report on lockdown parties at Downing Street, reading: ""I am extremely limited in what I can say about those events, and it is not possible at present to provide a meaningful report setting out and analyzing the extensive factual information I have been able to gather."""
tweetImg403.jpg,An image of civil rights leaders marching in the March on Washington.
tweetImg1118.jpg,An image of two dancers in purple costumes
tweetImg394.jpg,An image of a chart showing the risk of brain injuries for young athletes
tweetImg2481.jpg,An image of a large container ship and tugboats in the water.
tweetImg522.jpg,An image of zucchini and shallots in a white bowl with a serving spoon
tweetImg1716.jpg,An image of President Joe Biden signing a document with an American flag in the background.
tweetImg3554.jpg,An image of a headline from the New York Times about the explosion of a device in Manhattan
tweetImg2774.jpg,An image of a fire at a warehouse in Ukraine
tweetImg725.jpg,"An image of a house and a building that are leaning into the water in Juneau, Alaska."
tweetImg830.jpg,An image of three people wearing masks
tweetImg2415.jpg,"An image of a man and a woman standing at a door, with a large water tank visible in the background."
tweetImg912.jpg,An image of a list of Florida voting restrictions
tweetImg2273.jpg,An image of a Twitter Space sign-up form
tweetImg2992.jpg,An image of a skier in mid-air with the text
tweetImg474.jpg,An image of a basketball player dunking the ball in front of an audience.
tweetImg2490.jpg,An image of the Pope and other clergy standing in front of a floral display.
tweetImg1021.jpg,An image of a man walking down a street at night
tweetImg2939.jpg,An image of a bulldozer and a pile of dirt with the text: One of the infrastructure plans biggest winners: the pavement you drive on
tweetImg216.jpg,An image of a football player wearing a red helmet and a white facemask.
tweetImg1920.jpg,An image of Hunter Biden speaking to reporters with a crowd of reporters surrounding him.
tweetImg307.jpg,An image of a variety of cleaning products
tweetImg2331.jpg,An image of Lady Mary holding a glass of wine.
tweetImg595.jpg,An image of spaghetti being twirled with tongs
tweetImg2862.jpg,An image of a subway platform with a man standing on the platform and a train in the background.
tweetImg590.jpg,An image of the best dishwasher detergent
tweetImg763.jpg,"An image of a man sitting on the ground with a group of girls, with the text 'Where no one wanted girls, a dad in India takes on the patriarchy'"
tweetImg1910.jpg,An image of a man walking past Lebanese army soldiers and police in Beirut
tweetImg2033.jpg,An image of a quote from a Twitter user
tweetImg2111.jpg,An image of three people wearing masks looking at a map.
tweetImg2852.jpg,An image of soldiers marching in a line.
tweetImg9.jpg,"An image of Joe Biden speaking at the UN, with the title ""United Nations, New York, Sept. 19, 2021"" and the date of the speech"
tweetImg1068.jpg,An image of a graph showing the average fare for a single ride in 2021
tweetImg573.jpg,"An image of a bowl of wild rice soup with mushrooms, carrots, and green onions"
tweetImg1820.jpg,An image of campaign signs and volunteers
tweetImg1631.jpg,"An image of hundreds of people running alongside a US Air Force plane at Kabul airport on August 16, 2021."
tweetImg3495.jpg,An image of a graph showing the number of coronavirus cases in the US
tweetImg2300.jpg,An image of Tyson Fury holding his belts and a big smile
tweetImg1877.jpg,An image of a woman in a long dress from the cover of the magazine
tweetImg476.jpg,An image of a woman with long brown hair and glasses
tweetImg132.jpg,"An image of the band, with the four members standing in a line, looking at the camera."
tweetImg871.jpg,An image of a woman holding a sign with a picture of a young Black man.
tweetImg1537.jpg,An image of Afghans waving the national flag and holding a banner
tweetImg2244.jpg,An image of a cocktail with limes
tweetImg3631.jpg,"An image of a quote from Danielle Churchill, saying 'Although what she's doing is great, her not having a foundation or a website is destroying people's lives. We matter, too.'"
tweetImg85.jpg,An image of a text box that reads: Hunter Biden indicted on gun charges
tweetImg418.jpg,"An image of the exterior of the new Vikings stadium, with the glass facade reflecting the sky and the American flag flying in the foreground."
tweetImg913.jpg,An image of Stephen Curry jumping up to dunk the basketball with the words Stephen Curry is in the zone
tweetImg1916.jpg,An image of a man handing a box of bottled water to a firefighter.
tweetImg1106.jpg,An image of the 2022 Chevy Bolt EV on display at an auto show.
tweetImg603.jpg,An image of a variety of fountain pens
tweetImg2489.jpg,An image of the entrance to Disney World with a Mickey Mouse mural and palm trees in the background.
tweetImg149.jpg,"An image of pasta with mushrooms, ricotta and parsley"
tweetImg693.jpg,An image of the city of Manzanillo before and after the storm
tweetImg67.jpg,"An image of Fernando Botero sitting in front of a large painting, holding a paintbrush."
tweetImg434.jpg,"An image of Donald Trump from his July 24th arrest on charges of violating the Emoluments Clause of the U.S. Constitution, which prohibits him from accepting gifts from foreign governments."
tweetImg1064.jpg,An image of a news article about the charges against the officer
tweetImg518.jpg,An image of the Spanish women's soccer team celebrating after winning the gold medal at the Tokyo Olympics.
tweetImg648.jpg,An image of a woman wearing a purple hat and fringed jacket with the words America Spends Big on Beyoncé and Taylor Swift overlaid.
tweetImg900.jpg,An image of a study that says sleeping too little in middle age may increase dementia risk
tweetImg602.jpg,An image of a football player posing for a photo
tweetImg204.jpg,An image of Sloane Stephens celebrating after winning her first round match at the 2019 US Open.
tweetImg665.jpg,An image of two people running away from a fire with the text
tweetImg2919.jpg,An image of a bowl of rice noodles with egg drop gravy
tweetImg73.jpg,An image of a Charleston rowhouse at night with a palm tree and a street lamp lit up.
tweetImg450.jpg,"An image of Toto Cutugno, a man with a white face and black hair, wearing a black jacket and looking at the camera."
tweetImg370.jpg,An image of a chart showing the likelihood of damaging winds for various cities
tweetImg59.jpg,An image of a smiling Jalen Ramsey on the field.
tweetImg1999.jpg,An image of a man and a dog in a pet store
tweetImg2800.jpg,"An image of a quote from Prime Minister Justin Trudeau that reads: ""The horrific human costs of this cruel invasion are the direct and personal responsibility of Vladimir Putin."""
tweetImg780.jpg,An image of a woman holding a mug and looking down.
tweetImg97.jpg,An image of a bowl of white bean soup with sausage and kale
tweetImg589.jpg,An image of a document with a red border and a yellow text box
tweetImg57.jpg,An image of a pit bull with the text
tweetImg2366.jpg,"An image of a road in Wuhan, China, with a sign saying ""No Entry"""
tweetImg237.jpg,An image of two people standing on a beach looking at a car that has washed up on the shore.
tweetImg852.jpg,An image of people carrying belongings through flood waters
tweetImg917.jpg,"An image of a sign outside Elland Road, with a crowd gathered around it."
tweetImg225.jpg,An image of a corn pudding with a spoon
tweetImg527.jpg,An image of a s'more with chocolate and marshmallows
tweetImg20.jpg,An image of a city with a heat map overlay
tweetImg1329.jpg,An image of a child standing in flood water
tweetImg375.jpg,An image of Lorelai and Rory at the ice cream machine
tweetImg1912.jpg,An image of a woman with short hair
tweetImg2709.jpg,"An image of Larry Nassar in an orange prison jumpsuit, looking down and wearing glasses."
tweetImg2228.jpg,"An image of the front page of the New York Times, with a photo of Joe Biden shaking hands with a man in a white suit"
tweetImg383.jpg,An image of a football player putting his helmet on.
tweetImg155.jpg,An image of a map showing the location of the earthquake and the shaking intensity
tweetImg505.jpg,An image of a plane and a line showing the path it took to get to Denver
tweetImg45.jpg,An image of a skillet and a plate of shakshuka
tweetImg2659.jpg,"An image of a white box with text that reads ""Tell us: How did quitting your job change your life?"""
tweetImg834.jpg,"An image of a news article with the headline, ""Senate Reconsideringly Passes Bill to Target Anti-Asian Hate Crimes"" and a quote from the article, ""The bipartisan vote was the first legislative action either chamber of Congress has taken to bolster law enforcement's response to rising attacks on the Asian-American community."""
tweetImg471.jpg,"An image of cucumber salad with a dressing of olive oil, lemon juice, garlic, and herbs"
tweetImg3600.jpg,An image of a woman standing next to a blue box and a quote from Shahar Cholomi
tweetImg60.jpg,An image of two chicken breasts in a baking dish with pomegranate and cilantro on top
tweetImg587.jpg,An image of a female soccer player celebrating with the text
tweetImg1493.jpg,An image of a quote from the article
tweetImg882.jpg,An image of Police Commissioner Dermot Shea speaking at a podium with a screen behind him displaying the NYPD logo.
tweetImg680.jpg,An image of a collage of celebrities
tweetImg2790.jpg,"An image of a woman and a child crossing a border checkpoint with a caption that reads: Mezyk, Poland, Feb. 26, 2021"
tweetImg2827.jpg,An image of a large Ukrainian flag being carried through Times Square by a crowd.
tweetImg2541.jpg,"An image of the star system, showing the star before and after the supernova"
tweetImg348.jpg,An image of a flooded city from the air
tweetImg350.jpg,An image of a bowl of pasta with basil and corn
tweetImg1860.jpg,"An image of a quote from Dr. Allison Berry that reads, ""The places where it is most needed to put in more stringent measures, it's the least possible to do it. Either because you're afraid you'll be going to get fired, or you'"
tweetImg1667.jpg,An image of a woman looking at a calendar and a man looking down at his phone.
tweetImg401.jpg,An image of roasted cauliflower
tweetImg1431.jpg,An image of a black surface with red dots
tweetImg440.jpg,"An image of a headline from the Wall Street Journal about Forever 21's deal with Shein, which reads:"
tweetImg566.jpg,"An image of the Empire State Building and the skyline of Manhattan, with the words ""New York Plans to Open Parts of Manhattan to Housing"" superimposed on the image, and a white box in the lower left corner"
tweetImg377.jpg,An image of a bowl of cobbler with ice cream
tweetImg96.jpg,An image of a window and a bench with the title How to Fall in Love with the World Again
tweetImg3303.jpg,An image of people gathered around a lit Christmas tree at night.
tweetImg338.jpg,An image of cocktails and a cocktail glass on a table
tweetImg2493.jpg,An image of the Duomo in Florence with the title 'published 2022'
tweetImg2640.jpg,"An image of Emmanuel Macron at a rally with a sign in the background that says ""Avec Vous"""
tweetImg3535.jpg,An image of a hand and a foot with a flower on them
tweetImg1151.jpg,"An image of a slide from a presentation, showing the size of the Bootleg Fire in Oregon"
tweetImg3538.jpg,An image of a quote from a vaccine expert
tweetImg844.jpg,"An image of Nancy Pelosi being sworn in as the new House Speaker, with her hand raised."
tweetImg1055.jpg,An image of a street in downtown Minneapolis
tweetImg593.jpg,An image of Xxa wearing a blue sweater and white pants with the text
tweetImg3085.jpg,An image of a mouth with teeth and other teeth scattered around it
tweetImg414.jpg,"An image of Bob Barker waving to the camera, paired with the words"
tweetImg880.jpg,An image of a woman with short hair and a blue shirt in front of badlands.
tweetImg3501.jpg,"An image of Dr Rochelle Walensky, director of the CDC, speaking at a virtual press briefing on March 25, 2021."
tweetImg3355.jpg,An image of a hand holding a piece of paper with a list of names and photos of the soldiers who used the Malyans phone
tweetImg537.jpg,"An image of a map showing the path of Hurricane Hilary, as of October 14, 2020, at the time of this writing"
tweetImg3298.jpg,An image of a bus and people with bags
tweetImg2495.jpg,An image of a woman and a man playing a board game with the quote: It's so much better than just going out and drinking. It' is fun because it's an activity you know? It' s more engaging.
tweetImg2476.jpg,An image of a front porch with a bench and a rug.
tweetImg2310.jpg,An image of a brain and a man's face
tweetImg101.jpg,An image of a man and a woman looking at the camera.
tweetImg584.jpg,An image of the final score
tweetImg1804.jpg,An image of a woman pushing a stroller down a hallway.
tweetImg150.jpg,An image of travel gear and accessories
tweetImg84.jpg,An image of a map showing the path of Hurricane Lee
tweetImg2403.jpg,An image of FARC guerrillas watching a soccer game in a rural area of Colombia.
tweetImg1958.jpg,"An image of the New York Times logo on a black background, with the words"
tweetImg3427.jpg,An image of a congressional committee
tweetImg633.jpg,An image of a chart showing that many Americans are still skeptical of EVs
tweetImg1090.jpg,An image of a young couple standing in front of their home.
tweetImg2326.jpg,An image of a man in a suit and tie standing in front of an empty TV studio.
tweetImg3650.jpg,An image of a woman kneeling in the dirt with her arms raised in prayer.
tweetImg1092.jpg,"An image of a black hole with a bright white dot and the words ""astronomers see moons forming in disk around distant exoplanet"""
tweetImg2130.jpg,"An image of Europe showing maximum temperatures on Tuesday, September 12th, 2019"
tweetImg2402.jpg,An image of a car being built in a factory
tweetImg2057.jpg,"An image of Rep. Al Green, wearing a suit and red tie, sitting in front of an American flag."
tweetImg75.jpg,"An image of a bowl of chicken tortilla soup with avocado, sour cream, cheese, and red onion"
tweetImg64.jpg,An image of Jann Wenner sitting on a stool with the ocean in the background.
tweetImg318.jpg,An image of cocktails and a cocktail glass on a table
tweetImg3633.jpg,"An image of Rumsfeld and another man with the quote,"
tweetImg1557.jpg,"An image of Pope Francis and a quote that reads, ""Getting vaccinated is a simple yet profound way to care for one another, especially the most vulnerable."""
tweetImg849.jpg,An image of a woman holding a flute
